pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
858;100000;586;0,00586
859;100000;28;0,00028
860;100000;74;0,00074
861;100000;198;0,00198
862;100000;316;0,00316
863;100000;606;0,00606
864;100000;417;0,00417
865;100000;286;0,00286
866;100000;271;0,00271
867;100000;568;0,00568
868;100000;238;0,00238
869;100000;254;0,00254
870;100000;194;0,00194
871;100000;646;0,00646
872;100000;465;0,00465
873;100000;643;0,00643
874;100000;421;0,00421
875;100000;506;0,00506
876;100000;343;0,00343
877;100000;415;0,00415
878;100000;124;0,00124
879;100000;164;0,00164
880;100000;24;0,00024
881;100000;175;0,00175
882;100000;398;0,00398
883;100000;579;0,00579
884;100000;78;0,00078
885;100000;260;0,0026
886;100000;299;0,00299
887;100000;202;0,00202
888;100000;490;0,0049
889;100000;633;0,00633
890;100000;428;0,00428
891;100000;238;0,00238
892;100000;407;0,00407
893;100000;93;0,00093
894;100000;260;0,0026
895;100000;586;0,00586
896;100000;318;0,00318
897;100000;283;0,00283
898;100000;415;0,00415
899;100000;245;0,00245
900;100000;429;0,00429
901;100000;618;0,00618
902;100000;508;0,00508
903;100000;754;0,00754
904;100000;190;0,0019
905;100000;390;0,0039
906;100000;574;0,00574
907;100000;155;0,00155
908;100000;271;0,00271
909;100000;390;0,0039
910;100000;112;0,00112
911;100000;85;0,00085
912;100000;646;0,00646
913;100000;230;0,0023
914;100000;283;0,00283
915;100000;351;0,00351
916;100000;461;0,00461
917;100000;66;0,00066
918;100000;640;0,0064
919;100000;1232;0,01232
920;100000;1250;0,0125
921;100000;1974;0,01974
922;100000;1647;0,01647
923;100000;383;0,00383
924;100000;2265;0,02265
925;100000;847;0,00847
926;100000;244;0,00244
927;100000;196;0,00196
928;100000;599;0,00599
929;100000;314;0,00314
930;100000;634;0,00634
931;100000;715;0,00715
932;100000;213;0,00213
933;100000;36;0,00036
934;100000;221;0,00221
935;100000;937;0,00937
936;100000;1157;0,01157
937;100000;771;0,00771
938;100000;940;0,0094
939;100000;572;0,00572
940;100000;800;0,008
941;100000;726;0,00726
942;100000;312;0,00312
943;100000;444;0,00444
944;100000;622;0,00622
945;100000;866;0,00866
946;100000;67;0,00067
947;100000;651;0,00651
948;100000;746;0,00746
949;100000;946;0,00946
950;100000;344;0,00344
951;100000;1000;0,01
952;100000;150;0,0015
953;100000;414;0,00414
954;100000;485;0,00485
955;100000;1713;0,01713
956;100000;488;0,00488
957;100000;832;0,00832
958;100000;530;0,0053
959;100000;392;0,00392
960;100000;1285;0,01285
961;100000;1006;0,01006
962;100000;1264;0,01264
963;100000;1178;0,01178
964;100000;613;0,00613
965;100000;71;0,00071
966;100000;1288;0,01288
967;100000;715;0,00715
968;100000;238;0,00238
969;100000;212;0,00212
970;100000;233;0,00233
971;100000;523;0,00523
972;100000;527;0,00527
973;100000;792;0,00792
974;100000;599;0,00599
975;100000;601;0,00601
976;100000;625;0,00625
977;100000;224;0,00224
978;100000;781;0,00781
979;100000;662;0,00662
980;100000;246;0,00246
981;100000;712;0,00712
982;100000;653;0,00653
983;100000;254;0,00254
984;100000;341;0,00341
985;100000;715;0,00715
986;100000;77;0,00077
987;100000;534;0,00534
988;100000;432;0,00432
989;100000;414;0,00414
990;100000;303;0,00303
991;100000;222;0,00222
992;100000;544;0,00544
993;100000;523;0,00523
994;100000;560;0,0056
995;100000;670;0,0067
996;100000;702;0,00702
997;100000;619;0,00619
998;100000;634;0,00634
999;100000;285;0,00285
